VERSION;7.2.1.201802190531
DATE;28/08/2018 14:42
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0001;NQDS QL WELL WILDCAT;-1.466976585220942E-10
1;base0001;NQDS QW WELL WILDCAT;-4.237488757227697
1;base0001;NQDS QO WELL WILDCAT;0.1168968656423216
1;base0001;NQDS BHP WELL WILDCAT;-0.5672847332195717
1;base0001;NQDS QL WELL PROD1;5.206076692710489E-10
1;base0001;NQDS QW WELL PROD1;0.6504867384317289
1;base0001;NQDS QO WELL PROD1;-0.06033369858575045
1;base0001;NQDS BHP WELL PROD1;-0.3097203331860444
1;base0001;NQDS QL WELL PROD2;4.480642608844005E-10
1;base0001;NQDS QW WELL PROD2;-2.791990822694947
1;base0001;NQDS QO WELL PROD2;0.6290316177594966
1;base0001;NQDS BHP WELL PROD2;0.2151126216018421
1;base0001;NQDS QL WELL PROD3;1.253418683459912E-14
1;base0001;NQDS QW WELL PROD3;3.530368677404847E-13
1;base0001;NQDS QO WELL PROD3;0.0
1;base0001;NQDS BHP WELL PROD3;-0.5760231456065381
1;base0001;NQDS QL WELL PROD4;-4.325043423522021E-10
1;base0001;NQDS QW WELL PROD4;-3.38526404954612
1;base0001;NQDS QO WELL PROD4;0.2569716792157184
1;base0001;NQDS BHP WELL PROD4;-0.6202563299296024
1;base0001;NQDS QL WELL PROD5;7.87456564310681E-15
1;base0001;NQDS QW WELL PROD5;2.596923093364167E-13
1;base0001;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0001;NQDS BHP WELL PROD5;-0.8203604043673374
1;base0001;NQDS QL WELL PROD6;4.255026979039575E-10
1;base0001;NQDS QW WELL PROD6;-40.05358987207661
1;base0001;NQDS QO WELL PROD6;1.573155709302615
1;base0001;NQDS BHP WELL PROD6;-8.310000054084982
1;base0001;NQDS QL WELL PROD7;4.417008019069074E-10
1;base0001;NQDS QW WELL PROD7;4.528118845935127
1;base0001;NQDS QO WELL PROD7;-0.5105382949158226
1;base0001;NQDS BHP WELL PROD7;-0.7103879657971658
1;base0001;NQDS QL WELL PROD8;2.958837159805833E-10
1;base0001;NQDS QW WELL PROD8;-20.15052760837092
1;base0001;NQDS QO WELL PROD8;0.3475656956926846
1;base0001;NQDS BHP WELL PROD8;0.4813354727680628
1;base0001;NQDS QL WELL PROD9;-2.53920551172509E-10
1;base0001;NQDS QW WELL PROD9;-18.14704775200763
1;base0001;NQDS QO WELL PROD9;0.4263864326420392
1;base0001;NQDS BHP WELL PROD9;-0.418497812249323
1;base0001;NQDS QL WELL PROD10;3.006003949535037E-10
1;base0001;NQDS QW WELL PROD10;5.299083654289118
1;base0001;NQDS QO WELL PROD10;-0.1298877249267955
1;base0001;NQDS BHP WELL PROD10;-0.4271042583420028
1;base0001;NQDS QWI WELL INJ1;0.0
1;base0001;NQDS BHP WELL INJ1;-0.2052101078806269
1;base0001;NQDS QWI WELL INJ2;0.0
1;base0001;NQDS BHP WELL INJ2;-0.1828482252513153
1;base0001;NQDS QWI WELL INJ3;0.0
1;base0001;NQDS BHP WELL INJ3;-0.3224591751394843
