VERSION;7.2.1.201802190531
DATE;25/08/2018 12:06
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0001;NQDS QL WELL WILDCAT;-1.82645171086904E-10
1;base0001;NQDS QW WELL WILDCAT;-2.008980755587107
1;base0001;NQDS QO WELL WILDCAT;0.05541997797931108
1;base0001;NQDS BHP WELL WILDCAT;-0.4932599637986458
1;base0001;NQDS QL WELL PROD1;5.202212379945614E-10
1;base0001;NQDS QW WELL PROD1;-1.66265687388609
1;base0001;NQDS QO WELL PROD1;0.1541987716589861
1;base0001;NQDS BHP WELL PROD1;-0.2777714009358857
1;base0001;NQDS QL WELL PROD2;-6.346196052174584E-10
1;base0001;NQDS QW WELL PROD2;-1.660239884127508
1;base0001;NQDS QO WELL PROD2;0.3740104811321974
1;base0001;NQDS BHP WELL PROD2;-0.1404198363704631
1;base0001;NQDS QL WELL PROD3;1.523443506662797E-14
1;base0001;NQDS QW WELL PROD3;4.290918356882908E-13
1;base0001;NQDS QO WELL PROD3;0.0
1;base0001;NQDS BHP WELL PROD3;-0.6024950275536574
1;base0001;NQDS QL WELL PROD4;-4.271058854038553E-10
1;base0001;NQDS QW WELL PROD4;-2.481685787096424
1;base0001;NQDS QO WELL PROD4;0.1883873994570889
1;base0001;NQDS BHP WELL PROD4;-0.4092738738899727
1;base0001;NQDS QL WELL PROD5;-3.837006622582767E-11
1;base0001;NQDS QW WELL PROD5;4.411487668838894E-8
1;base0001;NQDS QO WELL PROD5;1.550593530722977E-9
1;base0001;NQDS BHP WELL PROD5;-1.67550199540858
1;base0001;NQDS QL WELL PROD6;1.721216945163044E-10
1;base0001;NQDS QW WELL PROD6;-59.55388629422281
1;base0001;NQDS QO WELL PROD6;2.33907094919958
1;base0001;NQDS BHP WELL PROD6;-0.3474347846083263
1;base0001;NQDS QL WELL PROD7;-3.904447880769431E-10
1;base0001;NQDS QW WELL PROD7;-30.15734532845797
1;base0001;NQDS QO WELL PROD7;3.400918366706088
1;base0001;NQDS BHP WELL PROD7;-0.4162926258295997
1;base0001;NQDS QL WELL PROD8;3.10201039721034E-10
1;base0001;NQDS QW WELL PROD8;-6.475392781028987
1;base0001;NQDS QO WELL PROD8;0.1116761921504519
1;base0001;NQDS BHP WELL PROD8;-0.4158340179822127
1;base0001;NQDS QL WELL PROD9;1.680700795084193E-10
1;base0001;NQDS QW WELL PROD9;-57.14897496704683
1;base0001;NQDS QO WELL PROD9;1.34274886042474
1;base0001;NQDS BHP WELL PROD9;-0.2555898230142367
1;base0001;NQDS QL WELL PROD10;-2.112464942895823E-10
1;base0001;NQDS QW WELL PROD10;-37.95985389362635
1;base0001;NQDS QO WELL PROD10;0.9303714694138011
1;base0001;NQDS BHP WELL PROD10;-0.3373211050726732
1;base0001;NQDS QWI WELL INJ1;0.0
1;base0001;NQDS BHP WELL INJ1;-0.1779177510971128
1;base0001;NQDS QWI WELL INJ2;0.0
1;base0001;NQDS BHP WELL INJ2;-0.1838976537299534
1;base0001;NQDS QWI WELL INJ3;0.0
1;base0001;NQDS BHP WELL INJ3;0.36553814571329
1;base0001;NQDS QWI WELL INJ4;0.0
1;base0001;NQDS BHP WELL INJ4;-0.7903481054045883
1;base0001;NQDS QWI WELL INJ5;0.0
1;base0001;NQDS BHP WELL INJ5;-0.3222435529233489
1;base0001;NQDS QWI WELL INJ6;0.0
1;base0001;NQDS BHP WELL INJ6;-0.2100451651816588
1;base0001;NQDS QWI WELL INJ7;0.0
1;base0001;NQDS BHP WELL INJ7;-1.458158171758825
1;base0001;NQDS QWI WELL INJ8;0.0
1;base0001;NQDS BHP WELL INJ8;-0.2751893160135943
1;base0001;NQDS QWI WELL INJ9;0.0
1;base0001;NQDS BHP WELL INJ9;-0.4884401194110792
1;base0002;NQDS QL WELL WILDCAT;2.616457534922166E-10
1;base0002;NQDS QW WELL WILDCAT;-2.303410250967384
1;base0002;NQDS QO WELL WILDCAT;0.06354088585989577
1;base0002;NQDS BHP WELL WILDCAT;-0.5827391960552653
1;base0002;NQDS QL WELL PROD1;5.213106236455778E-10
1;base0002;NQDS QW WELL PROD1;2.765816583266496
1;base0002;NQDS QO WELL PROD1;-0.2564884325063423
1;base0002;NQDS BHP WELL PROD1;-0.3271619429228779
1;base0002;NQDS QL WELL PROD2;-5.907198578277901E-10
1;base0002;NQDS QW WELL PROD2;23.85365129675782
1;base0002;NQDS QO WELL PROD2;-5.376097497526324
1;base0002;NQDS BHP WELL PROD2;0.3347253302606605
1;base0002;NQDS QL WELL PROD3;2.47987027277474E-10
1;base0002;NQDS QW WELL PROD3;0.7888537807964148
1;base0002;NQDS QO WELL PROD3;-0.007001858419306299
1;base0002;NQDS BHP WELL PROD3;-0.5677311516351663
1;base0002;NQDS QL WELL PROD4;3.154821358636957E-10
1;base0002;NQDS QW WELL PROD4;26.87507005529433
1;base0002;NQDS QO WELL PROD4;-2.039720478882602
1;base0002;NQDS BHP WELL PROD4;-0.5705686632425313
1;base0002;NQDS QL WELL PROD5;8.028655716217363E-11
1;base0002;NQDS QW WELL PROD5;0.01668606935061866
1;base0002;NQDS QO WELL PROD5;-1.25658003557054E-4
1;base0002;NQDS BHP WELL PROD5;-5.678743499303821
1;base0002;NQDS QL WELL PROD6;1.117540054393159E-10
1;base0002;NQDS QW WELL PROD6;-76.54158817602597
1;base0002;NQDS QO WELL PROD6;3.006291302666104
1;base0002;NQDS BHP WELL PROD6;-0.6336920770479749
1;base0002;NQDS QL WELL PROD7;3.432512955705354E-10
1;base0002;NQDS QW WELL PROD7;-26.93995359938712
1;base0002;NQDS QO WELL PROD7;3.038094138132918
1;base0002;NQDS BHP WELL PROD7;-0.5654753213161708
1;base0002;NQDS QL WELL PROD8;3.213175754386226E-10
1;base0002;NQDS QW WELL PROD8;-1.647780260035352
1;base0002;NQDS QO WELL PROD8;0.02841342862937641
1;base0002;NQDS BHP WELL PROD8;0.6353647943553649
1;base0002;NQDS QL WELL PROD9;-3.184945961797677E-10
1;base0002;NQDS QW WELL PROD9;-10.21197205203759
1;base0002;NQDS QO WELL PROD9;0.2399399137255051
1;base0002;NQDS BHP WELL PROD9;-0.3586072029791118
1;base0002;NQDS QL WELL PROD10;1.596778179338798E-10
1;base0002;NQDS QW WELL PROD10;-25.20719637580238
1;base0002;NQDS QO WELL PROD10;0.6178026945194394
1;base0002;NQDS BHP WELL PROD10;-0.4223924774455035
1;base0002;NQDS QWI WELL INJ1;0.0
1;base0002;NQDS BHP WELL INJ1;0.2523224203892552
1;base0002;NQDS QWI WELL INJ2;0.0
1;base0002;NQDS BHP WELL INJ2;-0.2281420992246189
1;base0002;NQDS QWI WELL INJ3;0.0
1;base0002;NQDS BHP WELL INJ3;0.4800576765475792
1;base0002;NQDS QWI WELL INJ4;0.0
1;base0002;NQDS BHP WELL INJ4;-0.6367687913619344
1;base0002;NQDS QWI WELL INJ5;0.0
1;base0002;NQDS BHP WELL INJ5;-0.3574235845712272
1;base0002;NQDS QWI WELL INJ6;0.0
1;base0002;NQDS BHP WELL INJ6;0.3230463312135368
1;base0002;NQDS QWI WELL INJ7;0.0
1;base0002;NQDS BHP WELL INJ7;-1.311173063031149
1;base0002;NQDS QWI WELL INJ8;0.0
1;base0002;NQDS BHP WELL INJ8;-0.2737291344983527
1;base0002;NQDS QWI WELL INJ9;0.0
1;base0002;NQDS BHP WELL INJ9;-0.5407348651282469
1;base0003;NQDS QL WELL WILDCAT;-2.504527511494347E-10
1;base0003;NQDS QW WELL WILDCAT;14.18353476918893
1;base0003;NQDS QO WELL WILDCAT;-0.3912510705311321
1;base0003;NQDS BHP WELL WILDCAT;-0.5525762237771213
1;base0003;NQDS QL WELL PROD1;-5.231166210020492E-10
1;base0003;NQDS QW WELL PROD1;-1.439285568976146
1;base0003;NQDS QO WELL PROD1;0.1334737057479871
1;base0003;NQDS BHP WELL PROD1;-0.4249041497584825
1;base0003;NQDS QL WELL PROD2;-3.68183592813644E-10
